0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,1,0
1,1,1
1,1,1
1,1,1
2,2,1
2,2,2
2,2,2
3,3,2
3,3,3
3,3,3
4,4,3
4,4,3
4,4,4
4,5,4
5,5,4
5,5,5
5,6,5
6,6,5
6,6,5
6,6,6
7,7,6
7,7,6
7,7,6
8,8,7
8,8,7
8,8,7
8,9,7
9,9,8
9,9,8
9,10,8
10,10,8
10,10,9
10,11,9
10,11,9
11,11,9
11,11,10
11,12,10
12,12,10
12,13,11
13,13,11
13,13,11
13,14,12
14,14,12
14,14,12
14,15,12
15,15,13
15,15,13
15,16,13
16,16,14
16,16,14
16,17,14
17,17,14
17,17,15
17,18,15
18,18,15
18,18,16
18,19,16
19,19,16
19,19,17
19,20,17
20,20,17
20,21,17
20,21,18
21,21,18
21,22,18
21,22,19
22,22,19
22,23,19
22,23,20
23,23,20
23,24,20
23,24,21
24,24,21
24,25,21
24,25,22
25,25,22
25,26,22
25,26,23
26,27,23
26,27,23
27,27,24
27,28,24
27,28,25
28,29,25
28,29,25
29,30,26
29,30,26
30,31,27
30,31,27
31,32,28
31,32,28
32,33,28
32,33,29
33,34,29
33,34,30
34,35,30
34,35,31
35,36,31
36,37,32
36,37,33
37,38,33
37,38,34
38,39,34
38,40,35
39,40,35
40,41,36
40,42,37
41,42,37
42,43,38
43,44,39
43,45,39
44,45,40
45,46,41
46,47,42
46,48,42
47,49,43
48,49,44
49,50,44
49,51,45
50,51,46
51,52,46
51,53,47
52,54,48
53,54,48
54,55,49
55,56,50
55,57,51
56,58,52
57,59,53
58,60,54
59,61,54
60,62,55
61,63,56
62,64,57
63,65,58
64,66,59
65,67,60
66,68,61
67,69,62
68,70,63
70,71,64
71,73,65
72,74,66
73,75,67
74,76,68
75,77,69
76,78,70
77,79,71
78,80,72
79,82,73
80,83,74
82,84,75
83,85,76
84,86,77
85,87,78
86,89,80
87,90,81
88,91,82
90,92,83
91,93,84
92,95,85
93,96,86
95,97,87
96,99,88
97,100,90
99,102,91
100,103,92
101,104,93
103,106,95
104,107,96
105,109,97
107,110,98
108,111,100
109,113,101
111,114,102
112,116,104
113,117,105
115,118,106
116,120,108
118,121,109
119,123,110
120,124,112
122,126,113
123,127,115
125,129,116
127,130,118
128,132,119
130,134,121
131,135,122
133,137,124
134,139,126
136,140,127
138,142,129
140,144,131
141,145,132
143,147,134
144,149,136
146,150,137
148,152,139
150,154,141
151,155,143
153,157,144
155,159,146
157,161,148
159,163,150
161,165,152
163,167,154
165,169,156
167,170,158
169,172,160
171,174,162
173,176,165
175,178,167
177,180,169
180,182,172
182,184,174
184,186,176
186,188,178
188,190,180
190,192,183
193,194,185
195,197,188
198,199,191
200,201,194
203,204,197
205,206,200
208,208,203
210,211,206
213,213,209
215,216,212
218,218,215
221,221,218
225,224,222
228,226,226
231,229,229
234,233,233
237,236,236
240,239,240
244,243,244
248,247,248
255,255,255
255,255,255
255,255,255
255,255,255
